"","X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat","city","dayType"
"1",3,482.975183371218,"Private room","False","True",4,"False",0,1,9,90,2,0.384872086143166,0.439851630272995,493.272517490928,26.1165211751116,875.114817497087,76.2890052344869,4.89417,52.37663,"amsterdam","weekends"
"2",95,3005.41325896937,"Entire home/apt","False","False",4,"False",0,0,9,95,4,1.61532470574009,1.40256120334721,216.665575387372,11.4714501353222,283.611972212384,24.7241559622498,4.88478,52.38683,"amsterdam","weekends"
"3",97,491.645771330818,"Entire home/apt","False","False",3,"True",0,0,10,98,1,2.31894984562184,0.129231479013284,315.0730020638,16.6816727839628,413.615301290201,36.0573255695069,4.8905,52.35245,"amsterdam","weekends"
"4",213,688.022871604996,"Entire home/apt","False","False",4,"False",0,0,9,98,3,4.05554576333564,2.14413738742853,95.7262391345426,5.06826604508138,120.30108424818,10.4873667573963,4.90319,52.40916,"amsterdam","weekends"
"5",222,325.029878377428,"Private room","False","True",2,"True",1,0,10,98,1,4.04822151969088,0.124513824002319,112.693000871653,5.96657839062671,140.137706535738,12.2166440490987,4.83365,52.37301,"amsterdam","weekends"
"6",231,2501.11311602184,"Entire home/apt","False","False",4,"False",0,0,9,100,1,1.42926838490215,1.20191845580623,240.342396800995,12.7250294163119,314.32919287123,27.4019602466452,4.88676,52.38548,"amsterdam","weekends"
"7",381,700.442903006585,"Entire home/apt","False","False",4,"False",1,0,9,93,2,2.79306004458647,1.05042765647921,163.43545808724,8.65315915756036,213.121382656574,18.5790686570366,4.92602,52.35826,"amsterdam","weekends"
"8",406,2175.61455721416,"Entire home/apt","False","False",5,"True",1,0,10,97,3,1.4345917654886,0.558159591840886,345.777129841201,18.3073157598591,371.141768640008,32.3546530859747,4.91064,52.36609,"amsterdam","weekends"
"9",591,362.758653012444,"Private room","False","True",2,"True",1,0,10,99,1,3.75495327404373,1.40513835796655,121.729724736405,6.44503154136758,159.211920618761,13.8794576467308,4.93614,52.35214,"amsterdam","weekends"
"10",728,508.283926604645,"Entire home/apt","False","False",2,"False",0,0,10,100,1,2.93780912185361,1.48296263773135,173.967857768752,9.21080149430782,214.703232194702,18.7169679649692,4.85277,52.36386,"amsterdam","weekends"
